video_id,config_num,config
1,1,"[{'ad_id': 7, 'time': 148, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 4, 'time': 262, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 6, 'time': 445, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}]"
1,2,"[{'ad_id': 5, 'time': 136, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 7, 'time': 261, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 4, 'time': 375, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}]"
1,3,"[{'ad_id': 0, 'time': 151, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}, {'ad_id': 4, 'time': 246, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 1, 'time': 442, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}]"
1,4,"[{'ad_id': 6, 'time': 105, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 5, 'time': 268, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 4, 'time': 447, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}]"
1,5,"[{'ad_id': 5, 'time': 151, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 2, 'time': 249, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 4, 'time': 445, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}]"
1,6,"[{'ad_id': 3, 'time': 93, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 0, 'time': 262, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}, {'ad_id': 5, 'time': 442, 'url': 'https://mall.jd.com/index-1000008814.html'}]"
1,7,"[{'ad_id': 5, 'time': 101, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 3, 'time': 259, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 7, 'time': 445, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}]"
1,8,"[{'ad_id': 4, 'time': 79, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 0, 'time': 252, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}, {'ad_id': 7, 'time': 397, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}]"
1,9,"[{'ad_id': 6, 'time': 148, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 4, 'time': 264, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 2, 'time': 490, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}]"
1,10,"[{'ad_id': 7, 'time': 148, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 4, 'time': 264, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 3, 'time': 390, 'url': 'https://mall.jd.com/index-1000074823.html'}]"
2,1,"[{'ad_id': 0, 'time': 157, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}, {'ad_id': 1, 'time': 303, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 7, 'time': 562, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}]"
2,2,"[{'ad_id': 2, 'time': 166, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 6, 'time': 415, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 3, 'time': 529, 'url': 'https://mall.jd.com/index-1000074823.html'}]"
2,3,"[{'ad_id': 5, 'time': 121, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 6, 'time': 299, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 4, 'time': 513, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}]"
2,4,"[{'ad_id': 4, 'time': 63, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 2, 'time': 435, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 6, 'time': 594, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}]"
2,5,"[{'ad_id': 5, 'time': 154, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 4, 'time': 401, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 0, 'time': 542, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}]"
2,6,"[{'ad_id': 3, 'time': 119, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 5, 'time': 217, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 0, 'time': 615, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}]"
